City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Blagoyevo,RU,63.3667,47.9167,0.5,94,100,8.75,overcast clouds
149,Carnarvon,AU,-24.8667,113.6333,79.99,69,55,1.95,broken clouds
150,Chuy,UY,-33.6971,-53.4616,67.03,76,11,11.88,few clouds
151,Longyearbyen,SJ,78.2186,15.6401,31.84,69,75,16.11,broken clouds
152,Constitucion,CL,-35.3333,-72.4167,57.83,73,8,18.32,clear sky
153,Khoy,IR,38.5504,44.9535,29.3,45,0,0.67,clear sky
154,Opuwo,NA,-18.0607,13.84,66.69,78,99,7.25,light rain
155,Naestved,DK,55.2299,11.7609,41.25,69,99,21.77,overcast clouds
156,Novovarshavka,RU,54.1721,74.6946,16.23,93,50,13.98,scattered clouds
157,Mar Del Plata,AR,-38.0023,-57.5575,64.94,82,0,1.99,clear sky
158,Bolobo,CD,-2.1667,16.2333,73.2,87,100,3.49,overcast clouds
159,Murdochville,CA,48.9583,-65.5006,12.88,95,82,2.8,broken clouds
160,Kaffrine,SN,14.1059,-15.5508,76.28,15,100,9.06,overcast clouds
161,Port Lincoln,AU,-34.7333,135.8667,64.49,62,100,14.99,overcast clouds
162,Ahipara,NZ,-35.1667,173.1667,72.84,67,91,17.81,overcast clouds
163,Mitsamiouli,KM,-11.3847,43.2844,79.47,79,87,6.11,light rain
164,Tabas,IR,33.5959,56.9244,41.92,31,9,5.17,clear sky
165,Port Hardy,CA,50.6996,-127.4199,42.62,84,100,14.25,overcast clouds
166,Ondangwa,NA,-17.9167,15.95,72.18,69,75,3.65,light rain
167,Guerrero Negro,MX,27.9769,-114.0611,61.74,54,9,8.52,clear sky
168,Duluth,US,46.7833,-92.1066,24.3,87,100,9.22,mist
169,Xinqing,CN,48.2333,129.5,-11.6,97,41,4.27,scattered clouds
170,Novyy Urengoy,RU,66.0833,76.6333,-9.63,97,100,13.33,overcast clouds
171,Sakakah,SA,29.9697,40.2064,48.85,83,54,11.9,broken clouds
172,Vangaindrano,MG,-23.35,47.6,71.83,92,100,4.52,light rain
173,Izumo,JP,35.3667,132.7667,44.17,59,99,6.04,overcast clouds
174,Lang Son,VN,21.8333,106.7333,54.68,71,96,4.38,overcast clouds
175,Takaka,NZ,-40.85,172.8,68.67,63,71,6.35,broken clouds
176,Prince Rupert,CA,54.3161,-130.3201,38.3,94,100,8.55,light rain
177,Sioux Lookout,CA,50.1001,-91.917,11.91,98,91,4.94,overcast clouds
178,Kahului,US,20.8947,-156.47,82.42,72,40,8.05,scattered clouds
179,Arraial Do Cabo,BR,-22.9661,-42.0278,74.21,86,26,27.27,scattered clouds
180,Tiksi,RU,71.6872,128.8694,-14.71,98,100,6.8,overcast clouds
181,College,US,64.8569,-147.8028,9.09,81,75,0.0,broken clouds
182,Chipata,ZM,-13.6333,32.65,63.66,92,100,2.24,overcast clouds
183,Karasuk,RU,53.7377,78.0403,16.68,95,92,13.22,overcast clouds
184,Uyutne,UA,45.1994,33.3014,50.25,80,1,9.73,clear sky
185,Ostrovnoy,RU,68.0531,39.5131,22.86,73,100,17.81,light snow
