City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Marang,MY,2022-10-18 02:25:43,5.2056,103.2059,80.87,77,95,3.62
114,Rio Gallegos,AR,2022-10-18 02:25:43,-51.6226,-69.2181,57.25,41,0,8.05
115,Mount Gambier,AU,2022-10-18 02:25:44,-37.8333,140.7667,68.32,47,93,6.73
116,Broome,US,2022-10-18 02:25:44,42.2506,-75.833,48.45,57,100,8.05
117,Shimoda,JP,2022-10-18 02:25:45,34.6667,138.95,66.56,87,100,11.23
118,Monrovia,LR,2022-10-18 02:25:45,6.3005,-10.7969,76.77,87,7,3.36
119,Iralaya,HN,2022-10-18 02:25:46,15.0,-83.2333,80.24,80,12,5.75
120,Harnosand,SE,2022-10-18 02:25:46,62.6323,17.9379,41.0,80,100,5.95
121,Lasa,IT,2022-10-18 02:25:47,46.6166,10.7002,52.68,73,33,2.19
122,Vostok,RU,2022-10-18 02:25:48,46.4856,135.8833,32.95,56,96,14.03
123,Nemuro,JP,2022-10-18 02:25:48,43.3236,145.575,50.05,57,8,17.02
124,Lahij,YE,2022-10-18 02:25:49,13.1667,44.5833,74.35,76,0,3.85
125,Huichapan,MX,2022-10-18 02:25:50,20.3833,-99.65,61.95,80,94,5.84
126,Qaanaaq,GL,2022-10-18 02:25:50,77.484,-69.3632,7.75,74,100,4.63
127,Santa Cruz,BO,2022-10-18 02:21:34,-17.8,-63.1667,76.46,78,40,2.3
128,Juneau,US,2022-10-18 02:21:12,58.3019,-134.4197,51.22,97,40,11.5
129,Chara,RU,2022-10-18 02:25:52,56.9064,118.2631,24.53,63,27,2.06
130,Mahebourg,MU,2022-10-18 02:25:52,-20.4081,57.7,70.09,73,20,10.36
131,Valdivia,CL,2022-10-18 02:25:53,-39.8142,-73.2459,55.49,77,100,2.42
132,Hithadhoo,MV,2022-10-18 02:26:53,-0.6,73.0833,80.65,69,100,4.27
133,Guane,CU,2022-10-18 02:26:54,22.2025,-84.0875,75.83,90,79,4.16
134,Namatanai,PG,2022-10-18 02:26:54,-3.6667,152.4333,83.32,71,96,12.59
135,Vila Velha,BR,2022-10-18 02:23:35,-20.3297,-40.2925,75.15,87,75,8.05
136,Pisco,PE,2022-10-18 02:26:55,-13.7,-76.2167,59.05,88,40,10.36
137,Upernavik,GL,2022-10-18 02:25:12,72.7868,-56.1549,37.06,93,100,38.45
138,Maumere,ID,2022-10-18 02:26:56,-8.6199,122.2111,85.59,68,100,1.07
139,Karauli,IN,2022-10-18 02:26:57,26.5,77.0167,71.13,68,0,5.75
140,Lusambo,CD,2022-10-18 02:26:57,-4.9667,23.45,66.52,99,90,1.81
141,Marshalltown,US,2022-10-18 02:26:58,42.0494,-92.908,32.23,59,0,10.36
142,Yerbogachen,RU,2022-10-18 02:26:58,61.2767,108.0108,30.72,70,100,6.6
143,Kodiak,US,2022-10-18 02:26:59,57.79,-152.4072,47.71,81,75,5.75
144,Salalah,OM,2022-10-18 02:26:59,17.0151,54.0924,75.29,64,0,5.75
145,Sakakah,SA,2022-10-18 02:27:00,29.9697,40.2064,71.17,18,6,5.19
146,Tay Ninh,VN,2022-10-18 02:27:00,11.3,106.1,81.82,76,100,3.29
147,Athabasca,CA,2022-10-18 02:27:01,54.7169,-113.2854,48.61,49,0,6.17
148,Narsaq,GL,2022-10-18 02:27:02,60.9167,-46.05,32.22,74,100,5.68
149,Turinsk,RU,2022-10-18 02:27:02,58.0458,63.696,37.99,93,99,8.25
150,Parry Sound,CA,2022-10-18 02:26:51,45.3501,-80.033,41.05,93,100,2.48
151,Sabzevar,IR,2022-10-18 02:27:03,36.2126,57.6819,58.28,44,20,9.22
152,Crestview,US,2022-10-18 02:27:04,30.7621,-86.5705,72.25,75,0,9.22
153,Nome,US,2022-10-18 02:27:04,64.5011,-165.4064,37.47,93,100,0.0
154,Luanda,AO,2022-10-18 02:27:05,-8.8368,13.2343,75.2,83,20,3.44
